track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.863,0.874,180.013,0.353,0.821,0.0377,0.0,58.0,58.0,0.0,0,0,58
0.751,0.884,117.948,0.0874,0.88,0.106,0.0,80.0,79.92307692307692,0.2664693550105965,0,0,80
0.556,0.67,148.964,0.216,0.915,0.0733,0.0,49.0,48.80769230769231,0.3941134909984461,0,0,49
0.762,0.277,127.931,0.205,0.926,0.117,0.0,48.0,47.53846153846154,0.4985185152621431,0,0,48
0.39,0.495,129.972,0.0846,0.843,0.137,0.0,69.0,69.0,0.0,0,0,69
0.609,0.778,140.206,0.17,0.714,0.126,0.0,0.0,0.0,0.0,0,0,0
0.438,0.695,129.039,0.0719,0.866,0.0743,0.0,58.0,57.80769230769231,0.3941134909984461,0,0,58
0.597,0.298,145.992,0.0627,0.842,0.124,0.0,66.0,65.96153846153847,0.19230769230769232,0,0,66
0.531,0.335,71.972,0.157,0.716,0.22,0.0,78.0,77.95833333333333,0.19982631347136331,0,0,78
0.604,0.899,99.996,0.0746,0.906,0.255,0.0,0.0,0.0,0.0,0,0,0
0.792,0.758,118.05,0.0668,0.829,0.122,0.0,65.0,65.0,0.4803844614152614,0,0,64
0.716,0.503,124.968,0.0445,0.649,0.0824,0.0,0.0,0.0,0.0,0,0,0
0.936,0.697,144.901,0.11,0.611,0.12,0.0,53.0,52.80769230769231,0.3941134909984461,0,0,53
0.399,0.713,129.047,0.0745,0.866,0.0689,0.0,0.0,0.0,0.0,0,0,0
0.53,0.507,135.998,0.127,0.907,0.101,0.0,71.0,71.0,0.0,0,0,71
